"Publisher" "Journal.name" "Abbreviation" "ISSN" "URL" "Start.Date" "Citation.Style"
"169" "BioMed Central Ltd" "GigaScience" "Giga Sci" "2047-217X" "http://www.gigasciencejournal.com" 2011 "BIOMEDCENTRAL"
"170" "BioMed Central Ltd" "Globalization and Health" "Global Health" "1744-8603" "http://www.globalizationandhealth.com" 2005 "BIOMEDCENTRAL"
"171" "BioMed Central Ltd" "Gut Pathogens" "Gut Pathog" "1757-4749" "http://www.gutpathogens.com" 2009 "BIOMEDCENTRAL"
"172" "BioMed Central Ltd" "Harm Reduction Journal" "Harm Reduct J" "1477-7517" "http://www.harmreductionjournal.com" 2004 "BIOMEDCENTRAL"
"173" "BioMed Central Ltd" "Head & Face Medicine" "Head Face Med" "1746-160X" "http://www.head-face-med.com" 2005 "BIOMEDCENTRAL"
"174" "BioMed Central Ltd" "Head & Neck Oncology" "Head Neck Oncol" "1758-3284" "http://www.headandneckoncology.org" 2009 "BIOMEDCENTRAL"
"175" "BioMed Central Ltd" "Health Information Science and Systems" "Health Inf Sci Syst" "2047-2501" "http://www.hissjournal.com" 2012 "BIOMEDCENTRAL"
"176" "BioMed Central Ltd" "Health Research Policy and Systems" "Health Res Policy Sys" "1478-4505" "http://www.health-policy-systems.com" 2003 "BIOMEDCENTRAL"
"177" "BioMed Central Ltd" "Health and Quality of Life Outcomes" "Health Qual Life Outcomes" "1477-7525" "http://www.hqlo.com" 2003 "BIOMEDCENTRAL"
"178" "BioMed Central Ltd" "Hereditary Cancer in Clinical Practice" "Hered Cancer Clin Pract" "1897-4287" "http://www.hccpjournal.com" 2003 "BIOMEDCENTRAL"
"179" "Chemistry Central Ltd" "Heritage Science" "Herit Sci" "2050-7445" "http://www.heritagesciencejournal.com" 2013 "BIOMEDCENTRAL"
"180" "BioMed Central Ltd" "Herpesviridae" "Herpesviridae" "2042-4280" "http://www.herpesviridae.org" 2010 "BIOMEDCENTRAL"
"181" "BioMed Central Ltd" "Human Genomics" "Hum Genomics" "1479-7364" "http://www.humgenomics.com" 2003 "BIOMEDCENTRAL"
"182" "BioMed Central Ltd" "Human Resources for Health" "Hum Resour Health" "1478-4491" "http://www.human-resources-health.com" 2003 "BIOMEDCENTRAL"
"183" "BioMed Central Ltd" "Immunity & Ageing" "Immun Ageing" "1742-4933" "http://www.immunityageing.com" 2004 "BIOMEDCENTRAL"
"184" "BioMed Central Ltd" "Immunome Research" "Immunome Res" "1745-7580" "http://www.immunome-research.com" 2005 "BIOMEDCENTRAL"
"185" "BioMed Central Ltd" "Implementation Science" "Implementation Sci" "1748-5908" "http://www.implementationscience.com" 2006 "BIOMEDCENTRAL"
"186" "Springer" "In Silico Pharmacology" "In Silico Pharmacol" "2193-9616" "http://www.in-silico-pharmacology.com" 2012 "BASIC_SPRINGER"
"187" "BioMed Central Ltd" "Infectious Agents and Cancer" "Infect Agents Cancer" "1750-9378" "http://www.infectagentscancer.com" 2006 "BIOMEDCENTRAL"
"188" "BioMed Central Ltd" "Infectious Diseases of Poverty" "Infect Dis Poverty" "2049-9957" "http://www.idpjournal.com" 2012 "BIOMEDCENTRAL"
"189" "BioMed Central Ltd" "Integrative Omics and Molecular Biology" "Integr OMICS Mol Biol" "2047-9174" "http://www.integrativeomics.org" 2011 "BIOMEDCENTRAL"
"190" "Springer" "International Aquatic Research" "Int Aquat Res" "2008-6970" "http://www.intaquares.com" 2011 "CHEMISTRY"
"191" "BioMed Central Ltd" "International Archives of Medicine" "Int Arch Med" "1755-7682" "http://www.intarchmed.com" 2008 "BIOMEDCENTRAL"
"192" "BioMed Central Ltd" "International Breastfeeding Journal" "Int Breastfeed J" "1746-4358" "http://www.internationalbreastfeedingjournal.com" 2006 "BIOMEDCENTRAL"
"193" "BioMed Central Ltd" "International Journal for Equity in Health" "Int J Equity Health" "1475-9276" "http://www.equityhealthj.com" 2002 "BIOMEDCENTRAL"
"194" "BioMed Central Ltd" "International Journal of Behavioral Nutrition and Physical Activity" "Int J Behav Nutr Phys Act" "1479-5868" "http://www.ijbnpa.org" 2004 "BIOMEDCENTRAL"
"195" "Springer" "International Journal of Bipolar Disorders" "Int J Bipolar Disord" "2194-7511" "http://www.journalbipolardisorders.com" 2012 "VANCOUVER"
"196" "Springer" "International Journal of Emergency Medicine" "Int J Emerg Med" "1865-1380" "http://www.intjem.com" 2011 "BIOMEDCENTRAL"
"197" "BioMed Central Ltd" "International Journal of Health Geographics" "Int J Health Geogr" "1476-072X" "http://www.ij-healthgeographics.com" 2002 "BIOMEDCENTRAL"
"198" "BioMed Central Ltd" "International Journal of Mental Health Systems" "Int J Ment Health Syst" "1752-4458" "http://www.ijmhs.com" 2007 "BIOMEDCENTRAL"
"199" "BioMed Central Ltd" "International Journal of Pediatric Endocrinology" "Int J Pediatr Endocrinol" "1687-9856" "http://www.ijpeonline.com" 2011 "BIOMEDCENTRAL"
"200" "BioMed Central Ltd" "International Seminars in Surgical Oncology" "Int Semin Surg Oncol" "1477-7800" "http://www.issoonline.com" 2004 "BIOMEDCENTRAL"
"201" "BioMed Central Ltd" "Investigative Genetics" "Invest Genet" "2041-2223" "http://www.investigativegenetics.com" 2010 "BIOMEDCENTRAL"
"202" "BioMed Central Ltd" "Irish Veterinary Journal" "irvetj" "2046-0481" "http://www.irishvetjournal.org" 2004 "BIOMEDCENTRAL"
"203" "BioMed Central Ltd" "Israel Journal of Health Policy Research" "Isr J of Health Policy Res" "2045-4015" "http://www.ijhpr.org" 2012 "BIOMEDCENTRAL"
"204" "BioMed Central Ltd" "Italian Journal of Pediatrics" "Ital J Pediatr" "1824-7288" "http://www.ijponline.net" 2008 "BIOMEDCENTRAL"
"205" "BioMed Central Ltd" "Journal for ImmunoTherapy of Cancer" "J Immunother Cancer" "2051-1426" "http://www.immunotherapyofcancer.org" 2012 "BIOMEDCENTRAL"
"206" "BioMed Central Ltd" "Journal of Animal Science and Biotechnology" "J Anim Sci Biotechnol" "2049-1891" "http://www.jasbsci.com" 2012 "BIOMEDCENTRAL"
"207" "BioMed Central Ltd" "Journal of Autoimmune Diseases" "J Autoimmune Dis" "1740-2557" "http://www.jautoimdis.com" 2004 "BIOMEDCENTRAL"
"208" "BioMed Central Ltd" "Journal of Biological Engineering" "J Biol Eng" "1754-1611" "http://www.jbioleng.org" 2007 "BIOMEDCENTRAL"
"209" "BioMed Central Ltd" "Journal of Biology" "J Biol" "1475-4924" "http://jbiol.com/" 2002 "BIOMEDCENTRAL"
"210" "BioMed Central Ltd" "Journal of Biomedical Discovery and Collaboration" "J Biomed Discov Collaboration" "1747-5333" "http://www.j-biomed-discovery.com" 2006 "BIOMEDCENTRAL"
"211" "BioMed Central Ltd" "Journal of Biomedical Science" "J Biomed Sci" "1423-0127" "http://www.jbiomedsci.com" 2009 "BIOMEDCENTRAL"
"212" "BioMed Central Ltd" "Journal of Biomedical Semantics" "J Biomed Sem" "2041-1480" "http://www.jbiomedsem.com" 2010 "BIOMEDCENTRAL"
"213" "BioMed Central Ltd" "Journal of Bioscience and Medicine" "J Bio Sci Med" "2161-2625" "http://www.jbioscimed.com" 2012 "n/a"
"214" "BioMed Central Ltd" "Journal of Brachial Plexus and Peripheral Nerve Injury" "J Brachial Plexus Peripher Nerve Inj" "1749-7221" "http://www.jbppni.com" 2006 "BIOMEDCENTRAL"
"215" "BioMed Central Ltd" "Journal of Carcinogenesis" "J Carcinog" "1477-3163" "http://www.carcinogenesis.com" 2002 "BIOMEDCENTRAL"
"216" "BioMed Central Ltd" "Journal of Cardiothoracic Surgery" "J Cardiothorac Surg" "1749-8090" "http://www.cardiothoracicsurgery.org" 2006 "BIOMEDCENTRAL"
"217" "BioMed Central Ltd" "Journal of Cardiovascular Magnetic Resonance" "J Cardiovasc Magn Reson" "1532-429X" "http://jcmr-online.com" 2008 "BIOMEDCENTRAL"
"218" "BioMed Central Ltd" "Journal of Cardiovascular Magnetic Resonance" "J Cardiovasc Magn Reson" "1532-429X" "http://jcmr-online.com" 2008 "VANCOUVER"
"219" "Chemistry Central Ltd" "Journal of Cheminformatics" "J Cheminf" "1758-2946" "http://www.jcheminf.com" 2009 "BIOMEDCENTRAL"
"220" "BioMed Central Ltd" "Journal of Circadian Rhythms" "J Circad Rhythms" "1740-3391" "http://www.jcircadianrhythms.com" 2003 "BIOMEDCENTRAL"
"221" "BioMed Central Ltd" "Journal of Clinical Bioinformatics" "J Clin Bioinformatics" "2043-9113" "http://www.jclinbioinformatics.com" 2011 "BIOMEDCENTRAL"
"222" "BioMed Central Ltd" "Journal of Diabetes & Metabolic Disorders" "J Diabetes Metab Disord" "2251-6581" "http://www.jdmdonline.com" 2012 "BIOMEDCENTRAL"
"223" "BioMed Central Ltd" "Journal of Eating Disorders" "J Eat Disord" "2050-2974" "http://www.jeatdisord.com" 2012 "BIOMEDCENTRAL"
"224" "BioMed Central Ltd" "Journal of Environmental Health Science and Engineering" "Iran J Environ Health Sci Eng" "2052-336X" "http://www.ijehse.com" 2012 "BIOMEDCENTRAL"
"225" "BioMed Central Ltd" "Journal of Ethnobiology and Ethnomedicine" "J Ethnobiology Ethnomedicine" "1746-4269" "http://www.ethnobiomed.com" 2005 "BIOMEDCENTRAL"
"226" "BioMed Central Ltd" "Journal of Experimental & Clinical Assisted Reproduction" "J Exp Clin Assist Reprod" "1743-1050" "http://www.jexpclinassistreprod.com" 2004 "BIOMEDCENTRAL"
"227" "BioMed Central Ltd" "Journal of Experimental & Clinical Cancer Research" "J Exp Clin Cancer Res" "1756-9966" "http://www.jeccr.com" 2008 "BIOMEDCENTRAL"
"228" "BioMed Central Ltd" "Journal of Foot and Ankle Research" "J Foot Ankle Res" "1757-1146" "http://www.jfootankleres.com" 2008 "BIOMEDCENTRAL"
"229" "BioMed Central Ltd" "Journal of Hematology & Oncology" "J Hematol Oncol" "1756-8722" "http://www.jhoonline.org" 2008 "BIOMEDCENTRAL"
"230" "BioMed Central Ltd" "Journal of Immune Based Therapies and Vaccines" "J Immune Based Ther Vaccines" "1476-8518" "http://www.jibtherapies.com" 2003 "BIOMEDCENTRAL"
"231" "BioMed Central Ltd" "Journal of Inflammation" "J Inflamm" "1476-9255" "http://www.journal-inflammation.com" 2004 "BIOMEDCENTRAL"
"232" "BioMed Central Ltd" "Journal of Interventional Neuroradiology" "J Interv Neuroradiol" "2047-3729" "http://www.jintervneuroradiology.com" 2011 "n/a"
"233" "BioMed Central Ltd" "Journal of Medical Case Reports" "J Med Case Rep" "1752-1947" "http://www.jmedicalcasereports.com" 2007 "BIOMEDCENTRAL"
"234" "BioMed Central Ltd" "Journal of Molecular Psychiatry" "J Mol Psychiatry" "2049-9256" "http://www.jmolecularpsychiatry.com" 2012 "BIOMEDCENTRAL"
"235" "BioMed Central Ltd" "Journal of Molecular Signaling" "J Mol Signal" "1750-2187" "http://www.jmolecularsignaling.com" 2006 "BIOMEDCENTRAL"
"236" "BioMed Central Ltd" "Journal of Nanobiotechnology" "J Nanobiotechnol" "1477-3155" "http://www.jnanobiotechnology.com" 2003 "BIOMEDCENTRAL"
"237" "BioMed Central Ltd" "Journal of Negative Results in BioMedicine" "J Negat Results BioMed" "1477-5751" "http://www.jnrbm.com" 2002 "BIOMEDCENTRAL"
"238" "BioMed Central Ltd" "Journal of NeuroEngineering and Rehabilitation" "J NeuroEngineering Rehabil" "1743-0003" "http://www.jneuroengrehab.com" 2004 "BIOMEDCENTRAL"
"239" "BioMed Central Ltd" "Journal of Neurodevelopmental Disorders" "J Neurodev Disord" "1866-1955" "http://www.jneurodevdisorders.com" 2009 "BIOMEDCENTRAL"
"240" "BioMed Central Ltd" "Journal of Neuroinflammation" "J Neuroinflammation" "1742-2094" "http://www.jneuroinflammation.com" 2004 "BIOMEDCENTRAL"
"241" "BioMed Central Ltd" "Journal of Occupational Medicine and Toxicology" "J Occup Med Toxicol" "1745-6673" "http://www.occup-med.com" 2006 "BIOMEDCENTRAL"
"242" "Springer" "Journal of Ophthalmic Inflammation and Infection" "J OPHTH INFLAMM INFECT" "1869-5760" "http://www.joii-journal.com" 2011 "BASIC_SPRINGER"
"243" "BioMed Central Ltd" "Journal of Orthopaedic Surgery and Research" "J Orthop Surg Res" "1749-799X" "http://www.josr-online.com" 2006 "BIOMEDCENTRAL"
"244" "BioMed Central Ltd" "Journal of Otolaryngology - Head & Neck Surgery" "J Otolaryngol - Head Neck Surg" "1916-0216" "http://www.journalotohns.com" 2013 "BIOMEDCENTRAL"
"245" "BioMed Central Ltd" "Journal of Ovarian Research" "J Ovarian Res" "1757-2215" "http://www.ovarianresearch.com" 2008 "BIOMEDCENTRAL"
"246" "BioMed Central Ltd" "Journal of Pharmaceutical Policy and Practice" "J Pharm Policy and Pract" "2052-3211" "http://www.joppp.org" 2013 "BIOMEDCENTRAL"
"247" "BioMed Central Ltd" "Journal of Physiological Anthropology" "J Physiol Anthropol" "1880-6805" "http://www.jphysiolanthropol.com" 2012 "BIOMEDCENTRAL"
"248" "Chemistry Central Ltd" "Journal of Systems Chemistry" "J Syst Chem" "1759-2208" "http://www.jsystchem.com" 2010 "BIOMEDCENTRAL"
"249" "BioMed Central Ltd" "Journal of Therapeutic Ultrasound" "J Ther Ultrasound" "2050-5736" "http://www.jtultrasound.com" 2013 "BIOMEDCENTRAL"
"250" "BioMed Central Ltd" "Journal of Translational Medicine" "J Transl Med" "1479-5876" "http://www.translational-medicine.com" 2003 "BIOMEDCENTRAL"
"251" "BioMed Central Ltd" "Journal of Trauma Management & Outcomes" "J Trauma Manage Outcomes" "1752-2897" "http://www.traumamanagement.org" 2007 "BIOMEDCENTRAL"
"252" "Springer" "Journal of Uncertainty Analysis and Applications" "J Uncertain Anal Appl" "2195-5468" "http://www.juaa-journal.com" 2013 "MATH_AND_PHYSICAL_SCIENCES"
"253" "BioMed Central Ltd" "Journal of Venomous Animals and Toxins including Tropical Diseases" "J Venom Anim Toxins incl Trop Dis" "1678-9199" "http://www.jvat.org" 2013 "BIOMEDCENTRAL"
"254" "BioMed Central Ltd" "Journal of the International AIDS Society" "J Int AIDS Soc" "1758-2652" "http://www.jiasociety.org/" 2004 "BIOMEDCENTRAL"
"255" "BioMed Central Ltd" "Journal of the International Society of Sports Nutrition" "J Int Soc Sports Nutr" "1550-2783" "http://www.jissn.com" 2004 "BIOMEDCENTRAL"
"256" "BioMed Central Ltd" "Kinetoplastid Biology and Disease" "Kinetoplastid Biol Dis" "1475-9292" "http://www.kinetoplastids.com" 2002 "BIOMEDCENTRAL"
"257" "BioMed Central Ltd" "Lipids in Health and Disease" "Lipids Health Dis" "1476-511X" "http://www.lipidworld.com" 2002 "BIOMEDCENTRAL"
"258" "BioMed Central Ltd" "Longevity & Healthspan" "Longevity Healthspan" "2046-2395" "http://www.longevityandhealthspan.com" 2012 "BIOMEDCENTRAL"
"259" "BioMed Central Ltd" "Malaria Journal" "Malar J" "1475-2875" "http://www.malariajournal.com" 2002 "BIOMEDCENTRAL"
"260" "BioMed Central Ltd" "Medical Gas Research" "Med Gas Res" "2045-9912" "http://www.medicalgasresearch.com" 2011 "BIOMEDCENTRAL"
"261" "BioMed Central Ltd" "Medical Immunology" "Med Immunol" "1476-9433" "http://www.medimmunol.com" 2002 "BIOMEDCENTRAL"
"262" "BioMed Central Ltd" "Microbial Cell Factories" "Microb Cell Fact" "1475-2859" "http://www.microbialcellfactories.com" 2002 "BIOMEDCENTRAL"
"263" "BioMed Central Ltd" "Microbial Informatics and Experimentation" "Microb Inform Exp" "2042-5783" "http://www.microbialinformaticsj.com" 2011 "BIOMEDCENTRAL"
"264" "BioMed Central Ltd" "Microbiome" "Microbiome" "2049-2618" "http://www.microbiomejournal.com" 2012 "BIOMEDCENTRAL"
"265" "BioMed Central Ltd" "Mobile DNA" "Mobile DNA" "1759-8753" "http://www.mobilednajournal.com" 2010 "BIOMEDCENTRAL"
"266" "BioMed Central Ltd" "Molecular Autism" "Mol Autism" "2040-2392" "http://www.molecularautism.com" 2010 "BIOMEDCENTRAL"
"267" "BioMed Central Ltd" "Molecular Brain" "Mol Brain" "1756-6606" "http://www.molecularbrain.com" 2008 "BIOMEDCENTRAL"
"268" "BioMed Central Ltd" "Molecular Cancer" "Mol Cancer" "1476-4598" "http://www.molecular-cancer.com" 2002 "BIOMEDCENTRAL"
"269" "BioMed Central Ltd" "Molecular Cytogenetics" "Mol Cytogenet" "1755-8166" "http://www.molecularcytogenetics.org" 2008 "BIOMEDCENTRAL"
"270" "BioMed Central Ltd" "Molecular Neurodegeneration" "Mol Neurodegeneration" "1750-1326" "http://www.molecularneurodegeneration.com" 2006 "BIOMEDCENTRAL"
"271" "BioMed Central Ltd" "Molecular Pain" "Mol Pain" "1744-8069" "http://www.molecularpain.com" 2005 "BIOMEDCENTRAL"
"272" "BioMed Central Ltd" "Movement Ecology" "Mov Ecol" "2051-3933" "http://www.movementecologyjournal.com" 2013 "BIOMEDCENTRAL"
"273" "BioMed Central Ltd" "Multidisciplinary Respiratory Medicine" "Multidiscip Respir Med" "2049-6958" "http://www.mrmjournal.com" 2006 "BIOMEDCENTRAL"
"274" "BioMed Central Ltd" "Neural Development" "Neural Dev" "1749-8104" "http://www.neuraldevelopment.com" 2006 "BIOMEDCENTRAL"
"275" "BioMed Central Ltd" "Neural Systems & Circuits" "Neural Syst Circuits" "2042-1001" "http://www.neuralsystemsandcircuits.com" 2011 "BIOMEDCENTRAL"
"276" "BioMed Central Ltd" "Neuroglia" "neuroglia" "2050-3997" "http://www.neurogliajournal.com" 2012 "n/a"
"277" "Springer" "New Zealand Journal of Forestry Science" "New Zealand J For Sci" "1179-5395" "http://www.nzjforestryscience.com" 2013 "AMERICAN_PSYCHOLOGICAL_ASSOCIATION"
"278" "BioMed Central Ltd" "Nonlinear Biomedical Physics" "Nonlinear Biomed Phys" "1753-4631" "http://www.nonlinearbiomedphys.com" 2007 "BIOMEDCENTRAL"
"279" "BioMed Central Ltd" "Nuclear Receptor" "Nucl Recept" "1478-1336" "http://www.nuclear-receptor.com" 2003 "BIOMEDCENTRAL"
"280" "BioMed Central Ltd" "Nutrition & Metabolism" "Nutr Metab (Lond)" "1743-7075" "http://www.nutritionandmetabolism.com" 2004 "BIOMEDCENTRAL"
"281" "BioMed Central Ltd" "Nutrition Journal" "Nutr J" "1475-2891" "http://www.nutritionj.com" 2002 "BIOMEDCENTRAL"
"282" "BioMed Central Ltd" "Open Network Biology" "open network biol" "2046-7826" "http://www.opennetworkbiology.com" 2011 "n/a"
"283" "BioMed Central Ltd" "Open Research Computation" "Open Res Comput" "2042-5767" "http://www.openresearchcomputation.com" 0 "BIOMEDCENTRAL"
"284" "Springer" "Optical Nanoscopy" "Opt Nanoscopy" "2192-2853" "http://www.optnano.com" 2011 "BASIC_SPRINGER"
"285" "BioMed Central Ltd" "Orphanet Journal of Rare Diseases" "Orphanet J Rare Dis" "1750-1172" "http://www.ojrd.com" 2006 "BIOMEDCENTRAL"
"286" "BioMed Central Ltd" "Osteopathic Medicine and Primary Care" "Osteopath Med Prim Care" "1750-4732" "http://www.om-pc.com" 2007 "BIOMEDCENTRAL"
"287" "BioMed Central Ltd" "Parasites & Vectors" "Parasit Vectors" "1756-3305" "http://www.parasitesandvectors.com" 2008 "BIOMEDCENTRAL"
"288" "BioMed Central Ltd" "Particle and Fibre Toxicology" "Part Fibre Toxicol" "1743-8977" "http://www.particleandfibretoxicology.com" 2004 "BIOMEDCENTRAL"
"289" "BioMed Central Ltd" "PathoGenetics" "Pathogenetics" "1755-8417" "http://www.pathogeneticsjournal.com" 2008 "BIOMEDCENTRAL"
"290" "BioMed Central Ltd" "Patient Safety in Surgery" "Patient Saf Surg" "1754-9493" "http://www.pssjournal.com" 2007 "BIOMEDCENTRAL"
"291" "BioMed Central Ltd" "Pediatric Rheumatology" "Pediatr Rheumatol" "1546-0096" "http://www.ped-rheum.com" 2003 "BIOMEDCENTRAL"
"292" "BioMed Central Ltd" "Perioperative Medicine" "perioper med" "2047-0525" "http://www.perioperativemedicinejournal.com" 2011 "BIOMEDCENTRAL"
"293" "BioMed Central Ltd" "Philosophy, Ethics, and Humanities in Medicine" "Philos Ethics Humanit Med" "1747-5341" "http://www.peh-med.com" 2006 "BIOMEDCENTRAL"
"294" "BioMed Central Ltd" "Plant Methods" "Plant Methods" "1746-4811" "http://www.plantmethods.com" 2005 "BIOMEDCENTRAL"
"295" "BioMed Central Ltd" "Population Health Metrics" "Popul Health Metrics" "1478-7954" "http://www.pophealthmetrics.com" 2003 "BIOMEDCENTRAL"
"296" "Springer" "Progress in Biomaterials" "Prog Biomater" "2194-0517" "http://www.progressbiomaterials.com" 2012 "BASIC_SPRINGER"
"297" "Springer" "Progress in Orthodontics" "Prog Orthod " "2196-1042" "http://www.progressinorthodontics.com" 2013 "VANCOUVER"
"298" "BioMed Central Ltd" "Proteome Science" "Proteome Sci" "1477-5956" "http://www.proteomesci.com" 2003 "BIOMEDCENTRAL"
"299" "BioMed Central Ltd" "Radiation Oncology" "Radiat Oncol" "1748-717X" "http://www.ro-journal.com" 2006 "BIOMEDCENTRAL"
"300" "BioMed Central Ltd" "Reproductive Biology and Endocrinology" "Reprod Biol Endocrinol" "1477-7827" "http://www.rbej.com" 2003 "BIOMEDCENTRAL"
"301" "BioMed Central Ltd" "Reproductive Health" "Reprod Health" "1742-4755" "http://www.reproductive-health-journal.com" 2004 "BIOMEDCENTRAL"
"302" "BioMed Central Ltd" "Respiratory Research" "Respir Res" "1465-9921" "http://respiratory-research.com" 2000 "BIOMEDCENTRAL"
"303" "BioMed Central Ltd" "Retrovirology" "Retrovirology" "1742-4690" "http://www.retrovirology.com" 2004 "BIOMEDCENTRAL"
"304" "Springer" "Rice" "Rice" "1939-8433" "http://www.thericejournal.com" 2011 "BASIC_SPRINGER"
"305" "BioMed Central Ltd" "Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine" "Scand J Trauma Resusc Emerg Med" "1757-7241" "http://www.sjtrem.com" 2008 "BIOMEDCENTRAL"
"306" "BioMed Central Ltd" "Scoliosis" "Scoliosis" "1748-7161" "http://www.scoliosisjournal.com" 2006 "BIOMEDCENTRAL"
"307" "BioMed Central Ltd" "Silence" "Silence" "1758-907X" "http://www.silencejournal.com" 2010 "BIOMEDCENTRAL"
"308" "BioMed Central Ltd" "Skeletal Muscle" "Skeletal Muscle" "2044-5040" "http://www.skeletalmusclejournal.com" 2011 "BIOMEDCENTRAL"
"309" "BioMed Central Ltd" "Source Code for Biology and Medicine" "Source Code Biol Med" "1751-0473" "http://www.scfbm.org" 2006 "BIOMEDCENTRAL"
"310" "BioMed Central Ltd" "Sports Medicine, Arthroscopy, Rehabilitation, Therapy and Technology" "SMARTT" "0000-0000" "http://www.biomedcentral.com/bmcsportsscimedrehabil/" 2009 "n/a"
"311" "Springer" "SpringerPlus" "SpringerPlus" "2193-1801" "http://www.springerplus.com" 2011 "BASIC_SPRINGER"
"312" "BioMed Central Ltd" "Stem Cell Research & Therapy" "Stem Cell Res Ther" "1757-6512" "http://stemcellres.com" 2010 "BIOMEDCENTRAL"
"313" "BioMed Central Ltd" "Substance Abuse Treatment, Prevention, and Policy" "Subst Abuse Treat Prev Policy" "1747-597X" "http://www.substanceabusepolicy.com" 2006 "BIOMEDCENTRAL"
"314" "Chemistry Central Ltd" "Sustainable Chemical Processes" "Sustain Chem Process" "2043-7129" "http://www.sustainablechemicalprocesses.com" 2013 "BIOMEDCENTRAL"
"315" "BioMed Central Ltd" "Sustainable Healthcare" "Sustain Healthc" "2045-998X" "http://www.sustainablehealthcarejournal.com" 0 "n/a"
"316" "BioMed Central Ltd" "Systematic Reviews" "Sys Rev" "2046-4053" "http://www.systematicreviewsjournal.com" 2012 "BIOMEDCENTRAL"
"317" "Springer" "The HUGO Journal" "Hugo J" "1877-6566" "http://www.thehugojournal.com" 2011 "BASIC_SPRINGER"
"318" "Springer" "The Journal of Headache and Pain" "J Headache Pain" "1129-2377" "http://www.thejournalofheadacheandpain.com" 2013 "BASIC_SPRINGER"
"319" "Springer" "The Journal of Mathematical Neuroscience" "The Journal of Mathematical Neuroscience" "2190-8567" "http://www.mathematical-neuroscience.com" 2010 "BIOMEDCENTRAL"
"320" "Springer" "The Journal of Mathematical Neuroscience" "The Journal of Mathematical Neuroscience" "2190-8567" "http://www.mathematical-neuroscience.com" 2010 "MATH_AND_PHYSICAL_SCIENCES"
"321" "BioMed Central Ltd" "Theoretical Biology and Medical Modelling" "Theor Biol Med Model" "1742-4682" "http://www.tbiomed.com" 2004 "BIOMEDCENTRAL"
"322" "BioMed Central Ltd" "Thrombosis Journal" "Thrombosis J" "1477-9560" "http://www.thrombosisjournal.com" 2003 "BIOMEDCENTRAL"
"323" "BioMed Central Ltd" "Thyroid Research" "Thyroid Res" "1756-6614" "http://www.thyroidresearchjournal.com" 2008 "BIOMEDCENTRAL"
"324" "BioMed Central Ltd" "Tobacco Induced Diseases" "Tob Induced Dis" "1617-9625" "http://www.tobaccoinduceddiseases.com" 2002 "BIOMEDCENTRAL"
"325" "BioMed Central Ltd" "Translational Neurodegeneration" "Transl Neurodegener" "2047-9158" "http://www.translationalneurodegeneration.com" 2012 "BIOMEDCENTRAL"
"326" "Springer" "Translational Respiratory Medicine" "Transl Respir Med" "2213-0802" "http://www.transrespmed.com" 2012 "BIOMEDCENTRAL"
"327" "BioMed Central Ltd" "Transplantation Research" "Transplant Res" "2047-1440" "http://www.transplantationresearch.com" 2011 "BIOMEDCENTRAL"
"328" "BioMed Central Ltd" "Trials" "Trials" "1745-6215" "http://www.trialsjournal.com" 2000 "BIOMEDCENTRAL"
"329" "BioMed Central Ltd" "Vascular Cell" "Vasc Cell" "2045-824X" "http://www.vascularcell.com" 2009 "BIOMEDCENTRAL"
"330" "BioMed Central Ltd" "Veterinary Research" "Vet Res" "1297-9716" "http://www.veterinaryresearch.org" 2011 "BIOMEDCENTRAL"
"331" "BioMed Central Ltd" "Virology Journal" "Virol J" "1743-422X" "http://www.virologyj.com" 2004 "BIOMEDCENTRAL"
"332" "BioMed Central Ltd" "World Allergy Organization Journal" "World Allergy Organization J" "1939-4551" "http://www.waojournal.org" 2013 "BIOMEDCENTRAL"
"333" "BioMed Central Ltd" "World Journal of Emergency Surgery" "World J Emerg Surg" "1749-7922" "http://www.wjes.org" 2006 "BIOMEDCENTRAL"
"334" "BioMed Central Ltd" "World Journal of Surgical Oncology" "World J Surg Onc" "1477-7819" "http://www.wjso.com" 2003 "BIOMEDCENTRAL"
"335" "Springer" "Zoological Studies" "Zool Stud" "1810-522X" "http://www.zoologicalstudies.com" 2013 "BASIC_SPRINGER"
"336" "BioMed Central Ltd" "eHealth International" "eHealth Int" "1476-3591" "http://www.ehealthinternational.org" 0 "BIOMEDCENTRAL"
